ticker,verified_status,source,last_checked,notes
EXE,compliant,Zoya,2026-06-19,verified manually
SW,compliant,Zoya,2026-06-19,verified manually
INCY,compliant,Zoya,2026-06-19,verified manually
CARR,compliant,Zoya,2026-06-19,verified manually
STLD,compliant,Zoya,2026-06-19,verified manually
NEM,compliant,Zoya,2026-06-20,verified manually
INTU,compliant,Zoya,2026-06-20,verified manually
CF,compliant,Zoya,2026-06-20,verified manually
DELL,compliant,Zoya,2026-06-20,verified manually
NVDA,compliant,Zoya,2026-06-20,verified manually
AMD,compliant,Zoya,2026-06-20,verified manually
LRCX,compliant,Zoya,2026-06-20,verified manually
VRT,compliant,Zoya,2026-06-20,verified manually
MU,compliant,Zoya,2026-06-20,verified manually
FIX,compliant,Zoya,2026-06-20,verified manually



APA,compliant,Zoya,2026-06-21,verified manually
DXCM,compliant,Zoya,2026-06-21,verified manually
JBL,compliant,Zoya,2026-06-21,verified manually
PLTR,compliant,Zoya,2026-06-21,verified manually — automated screen confirms compliant; data analytics software no prohibited revenue
